v1,v2,v3,v4,v5
ham,Pick you up bout 7.30ish? What time are  and that going?,¿Quiénes son las 7:30? ¿Cuál es la hora?,,
ham,From here after The performance award is calculated every two month.not for current one month period..,A partir de aquí después El premio de rendimiento se calcula cada dos meses.no para el período de un mes actual..,,
ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,Estaba realmente durmiendo y todavía podría cuando u llamar de vuelta. Así que un texto es gr8.,,
ham,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.","Siempre estás poniendo tu negocio allí.Puedes poner fotos de tu culo en Facebook.Eres una de las personas más abiertas que he conocido.¿Por qué pensaría que una foto de tu habitación te haría daño, te haría sentirte violado?",,
ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.","Buenas noches Sir, Al Salam Wahleykkum.compartiendo una buena noticia.Por la gracia de Dios, recibí una oferta de Tayseer, TISSCO y me uní.Espero que estés bien.Inshah Allah,meet you someday.Rakhesh,visitor de la India.",,
ham,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,Hmmm...k... pero quiero cambiar el campo rápidamente da :-)i wanna get administrador de sistema o administrador de red..,,
spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x�150pw to e�nd txt stop","GRATUITO RINGTONE texto PRIMERO a 87131 para un poli o texto GET a 87131 para un tono verdadero! Ayuda? 0845 2814032 16 después de 1st libre, los tonos son 3x 150pw a e nd txt parar",,
ham,Dear how is chechi. Did you talk to her,Querida como es Chechi. ¿Has hablado con ella?,,
ham,The hair cream has not been shipped.,La crema para el cabello no ha sido enviada.,,
ham,None of that's happening til you get here though,Nada de eso está sucediendo hasta que llegues aquí,,
ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour","Yep, el gran loxahatchee xmas árbol ardiendo de &lt;#&gt; comienza en una hora",,
ham,"Haha get used to driving to usf man, I know a lot of stoners","Haha se acostumbra a conducir al hombre usf, conozco a un montón de stoners",,
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,Todo estaba bien hasta una clase ligeramente desastrosa esta tarde con mis queridos queridos!¡Espero que el día esté bien.¡El café va bien como no se puede quedar tarde mañana!,,
ham,Hello! Good week? Fancy a drink or something later?,"Buenas noches, ¿una copa o algo más tarde?",,
ham,Headin towards busetop,Caminar hacia Busetop,,
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,Mensaje:mensaje faltante * Mensaje:Nombre faltante * Mensaje faltante * Mensaje faltante * Mensaje faltante * Mensaje faltante * Mensaje faltante * Mensaje faltante * Mensaje faltante * Mensaje faltante * Mensaje perdido * Mensaje perdido * Mensaje perdido * Mensaje perdido * Mensaje perdido * Mensaje perdido * Mensaje perdido * Mensaje perdido * Mensaje perdido * Mensaje perdido * Mensaje perdido,,
ham,Come by our room at some point so we can iron out the plan for this weekend,Ven a nuestra habitación en algún momento para que podamos ironar el plan para este fin de semana,,
ham,Cos i want it to be your thing,Cos quiero que sea tu cosa,,
ham,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ","Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...",,
ham,Bring home some Wendy =D,Lleve a casa a Wendy =D,,
spam,100 dating service cal;l 09064012103 box334sk38ch,100 dating servicio cal;l 09064012103 box334sk38ch,,
ham,Whatsup there. Dont u want to sleep,WhatsApp no quiere dormir,,
ham,Alright i have a new goal now,Ahora tengo un nuevo objetivo,,
spam,FREE entry into our �250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,Entrada GRATUITA en nuestro concurso semanal de 250 simplemente escriba la palabra WIN a 80086 NOW. 18 T&C www.txttowin.co.uk,,
ham,"Alright, I'll head out in a few minutes, text me where to meet you","Bueno, voy a salir en unos minutos, me envío un mensaje donde encontrarte",,
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,Enviar un logotipo 2 ur lover - 2 nombres unidos por un corazón. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 a 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,,
ham,Yes:)from last week itself i'm taking live call.,Sí :) Desde la semana pasada estoy recibiendo llamadas en vivo.,,
spam,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,Alguien ha contactado con nuestro servicio de citas y ha entrado en su teléfono porque le gusta! Para averiguar quién es la llamada desde una línea fija 09111032124. PoBox12n146tf150p,,
ham,Siva is in hostel aha:-.,Siva está en hostel aha:-.,,
spam,URGENT! Your Mobile number has been awarded with a �2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,URGENTE! Su número de teléfono móvil ha sido otorgado con un premio 2000 GARANTIDO. Llamar a 09058094455 desde la línea de tierra. Solicitar 3030.,,
ham,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,Envía esto a tus amigos y recibe algo sobre tu voz..... ¿Cómo es mi expresión de habla? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful de actitud 6.romantic 7.shy 8.Attractive 9.funny &lt;#&gt;.irritating &lt;#&gt;.lovable. responderme..,,
ham,Ok. She'll be ok. I guess,Ella va a estar bien.Supongo,,
ham,aathi..where are you dear..,Aathi... dónde estás querido...,,
ham,Any pain on urination any thing else?,¿Algún dolor en la orina alguna otra cosa?,,
ham,7 at esplanade.. Do �_ mind giving me a lift cos i got no car today..,7 en la esplanada.. no _ mente dándome un ascensor cos no tengo coche hoy..,,
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,Me gustaría comprar un coche BMW urgentemente..its vry urgent.but hv una carencia de &lt;#&gt; Lacs.there es ninguna fuente para arng dis amt. &lt;#&gt; lacs..thats mi prob,,
ham,At home watching tv lor.,En casa mirando la televisión.,,
ham,Does she usually take fifteen fucking minutes to respond to a yes or no question,¿Normalmente tarda quince minutos en responder a una pregunta sí o no?,,
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,Congrats! Nokia 3650 teléfono de cámara de vídeo es tu llamada 09066382422 llamadas cuesta 150ppm Ave llamadas 3mins varían de móviles 16+ Cerrar 300603 post BCM4284 Ldn WC1N3XX,,
ham,Booked ticket for pongal?,¿Búsqueda de billete para Pongal?,,
ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,¿Estás disponible ahora? estoy como justo alrededor de hillsborough &amp; &lt;#&gt; th,,
ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,El mensaje enviado es askin para &lt;#&gt; dólares. Shoul i pay &lt;#&gt; o &lt;#&gt;?,,
ham,"Ask g or iouri, I've told the story like ten times already","Pregunte a G o a Iouri, ya he contado la historia como diez veces",,
ham,How long does applebees fucking take,¿Cuánto tiempo dura el applebees,,
ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.","Hola espero que obtengas este txt~viaje no ha sido gd,ahora cerca de 50 minutos tarde creo.",,
ham,But i have to. I like to have love and arrange.,Pero tengo que. me gusta tener amor y arreglar.,,
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,Sí.. él es realmente grande..bhaji dijo a kallis el mejor cricketer después de sachin en el mundo:).muy difícil salir.,,
ham,You were supposed to wake ME up &gt;:(,¿Te gustaría que me despertara &gt; :(,,
ham,Oic... I saw him too but i tot he din c me... I found a group liao...,Oic... yo también lo vi pero i tot el din c me... he encontrado un grupo liao...,,
ham,"Sorry, I'll call later","Perdón, te llamaré más tarde",,
ham,\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS,"¡Hey, el pueblo de los monos dice que nos rodeamos de monos!",,
ham,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?","Perdón, mi batería ha muerto, puedo pasar por ahí, pero sólo tengo un gramo por ahora, ¿dónde está tu lugar?",,
ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ","Bien hecho, blimey, ejercicio, sí, me acuerdo de wot que es, hmm.",,
ham,I wont get concentration dear you know you are my mind and everything :-),Yo no puedo conseguir la concentración querido que sabes que eres mi mente y todo :-),,
ham,LOL ... Have you made plans for new years?,LOL... ¿Has hecho planes para los nuevos años?,,
ham,10 min later k...,"Diez minutos más tarde, K...",,
ham,hanks lotsly!,¡Hanks Lotsly!,,
ham,Thanks for this hope you had a good day today,Gracias por esta esperanza que tuviste un buen día hoy,,
ham,K:)k:)what are detail you want to transfer?acc no enough?,K:)k:)¿Cuáles son los detalles que quieres transferir?acc no es suficiente?,,
ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,"Sí, ha sido duro, pero estamos optimistas de que las cosas se mejorarán este mes.",,
spam,"Loan for any purpose �500 - �75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",Préstamo para cualquier propósito 500 - 75.000. propietarios de viviendas + inquilinos bienvenidos. ¿Han sido rechazados previamente? todavía podemos ayudar. llamar gratis 0800 1956669 o texto de vuelta 'ayuda',,
ham,Si si. I think ill go make those oreo truffles.,"Sí, sí, creo que mal va a hacer esas trufas de oreo.",,
ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DON��T LIKE ME LIKE THAT SO DON��T WORRY.","Mira el reloj de Amy, una mujer hermosa, inteligente y me gusta mucho.",,
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,Espero que esto sea el resultado de ser consistentemente inteligente y amable.Comience preguntándole sobre los enlaces de practicum y mantenga sus oídos abiertos y todo lo mejor.,,
ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya","1.20 que llama coste. que yo pienso que no es malo. Miss ya, need ya, want ya, love ya",,
ham,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,"Ir a través de un sentimiento muy diferente, tomar decisiones y hacer frente a lo mismo es el mismo individuo, el tiempo curará todo lo que creo.",,
ham,Where did u go? My phone is gonna die you have to stay in here,"Mi teléfono va a morir, tienes que quedarte aquí",,
ham,Great. Never been better. Each day gives even more reasons to thank God,Nunca ha sido mejor.Cada día da aún más razones para agradecer a Dios,,
spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available","Cliente de UpgrdCentre Orange, ahora puede reclamar su actualización GRATIS CAMERA PHONE para su lealtad. Llame ahora al 0207 153 9153. La oferta finaliza el 26 de julio. T&C se aplica.",,
ham,"Sorry, I'll call later ok bye","Perdón, te llamaré más tarde ok adiós",,
ham,Ok i am on the way to railway,Estoy en camino hacia el ferrocarril,,
ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),maravillosa princesa! me encanta dar y recibir oralmente. estilo de perro es mi posición favorita. ¿Qué tal de ti? me gusta hacer amor &lt;#&gt; veces por noche :),,
ham,They don't put that stuff on the roads to keep it from getting slippery over there?,¿No ponen esas cosas en las carreteras para evitar que se deslizen por ahí?,,
ham,When are you going to ride your bike?,¿Cuándo vas a montar tu bicicleta?,,
ham,"Yup, no need. I'll jus wait 4 e rain 2 stop.","No, no hace falta esperar a 4 e lluvia 2 parar.",,
ham,There are many company. Tell me the language.,Hay muchas compañías.Dime el idioma.,,
spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,okmail: Querido Dave este es su último aviso para recoger su 4* Tenerife Holiday o #5000 premio en efectivo! llamar 09061743806 desde la línea fija. TCs SAE Box326 CW25WX 150ppm,,
ham,"How long has it been since you screamed, princess?","¿Cuánto tiempo ha pasado desde que gritas, princesa?",,
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...","Nada. me refiero a que una vez que el dinero entre en su cuenta aquí, el banco eliminará su tasa fija. Alguien transfirió &lt;#&gt; a mi cuenta y &lt;#&gt; dólares fueron eliminados. Así que los bancos difieren y las tarifas también difieren. asegúrese de confiar en la persona 9ja que está enviando los detalles de la cuenta a cos...",,
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,¿Quieres que 2 se pongan esta noche? ¿Quieres que los lugares de Dogging reales se envíen directamente a 2 ur Mob? Únete a la red de Dogging más grande del Reino Unido mediante txting MOAN a 69888Nyt. ec2a. 31p.msg@150p,,
ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),Buena línea diciendo por un corazón roto- Plz no cum 1 más veces delante de mí... Otros sabios una vez más I ll confiar en U... Buen 9t:),,
ham,Ok I'm gonna head up to usf in like fifteen minutes,Ok I'm gonna head up a usf en como quince minutos,,
ham,Love you aathi..love u lot..,"Te amo aathi, te amo mucho.",,
ham,Tension ah?what machi?any problem?,¿Cuál es el problema? ¿cuál es el problema?,,
ham,"K, can I pick up another 8th when you're done?","K, ¿puedo recoger otro 8 cuando esté terminado?",,
ham,When're you guys getting back? G said you were thinking about not staying for mcr,¿Cuándo van a volver los chicos?G dijo que estaba pensando en no quedarse para mcr,,
ham,"Almost there, see u in a sec","Casi allí, te veo en un sec",,
ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?","Yo carlos, algunos amigos ya me están preguntando sobre ti, ¿estás trabajando en todo este fin de semana?",,
ham,Watching tv lor...,Mirando la televisión de sus...,,
ham,Thank you baby! I cant wait to taste the real thing...,¡Gracias bebé! no puedo esperar a probar la verdadera cosa...,,
ham,You should change your fb to jaykwon thuglyfe falconerf,Usted debe cambiar su fb a jaykwon thuglyfe falconerf,,
ham,If we win its really no 1 side for long time.,Si ganamos realmente no 1 lado por mucho tiempo.,,
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com","Activar sus 500 mensajes de texto GRATUITOS respondiendo a este mensaje con la palabra GRATUITA Para los términos y condiciones, visite www.07781482378.com",,
ham,Dear reached railway. What happen to you,¿Qué pasa con el tren? ¿Qué pasa con el tren?,,
ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2","Depende de la calidad. Si desea el tipo que envié bacha, gloria desvanecida, entonces alrededor de 6.",,
ham,I think i've fixed it can you send a test message?,Creo que lo he corregido ¿puedes enviar un mensaje de prueba?,,
ham,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card","Perdón hombre mi cuenta seca o yo lo haría, si quieres que podamos comerciar la mitad o puedo comprar algo de mierda con mi tarjeta de crédito",,
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","¡Congrats! 1 año de pases especiales de cine para 2 es tuyo. llamar 09061209465 ahora! C Suprman V, Matrix3, StarWars3, etc todos 4 GRATIS! bx420-ip4-5we. 150pm. No te pierdas!",,
ham,"Sorry,in meeting I'll call later","Perdón, en la reunión te llamaré más tarde",,
ham,What class of  &lt;#&gt;  reunion?,¿Qué clase de &lt;#&gt; reunion?,,
ham,Are you free now?can i call now?,¿Estás libre ahora? ¿puedo llamar ahora?,,
ham,Got meh... When?,Me ha gustado... ¿cuándo?,,
ham,Nope... Think i will go for it on monday... Sorry i replied so late,Nope... Creo que voy a buscarlo el lunes... Perdón por haber respondido tan tarde,,
ham,Some of them told accenture is not confirm. Is it true.,Algunos de ellos dijeron que el acento no es confirmado.,,
ham,"Kate jackson rec center before 7ish, right?","Kate Jackson recentre antes de 7ish, ¿verdad?",,
ham,Dear i have reache room,"Hola, tengo una habitación",,
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.","Combatir con el mundo es fácil, ganando o perdiendo con alguien que está cerca de ti es difícil si pierdes - pierdes si ganas - todavía pierdes.",,
ham,When can �_ come out?,¿Cuándo puede salir?,,
ham,Check with nuerologist.,Compruebe con un neurólogo.,,
ham,Lolnice. I went from a fish to ..water.?,Lolnice. —Me fui de un pez a... el agua.,,
spam,+123 Congratulations - in this week's competition draw u have won the �1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,+123 Felicitaciones - en el sorteo de esta semana u han ganado el premio 1450 para reclamar sólo llamar 09050002311 b4280703. T&Cs/stop SMS 08718727868. Más de 18 sólo 150ppm,,
ham,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,No está esperando en el e coche dat's aburrido wat. Cos espera fuera no tiene nada 2 hacer. en casa puede hacer mis cosas o ver la televisión wat.,,
ham,"Maybe westshore or hyde park village, the place near my house?","Quizás Westshore o Hyde Park Village, el lugar cerca de mi casa?",,
ham,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,Usted debe saber ahora. Así que cómo es Anthony. ¿Estás trayendo dinero. Tengo tasas escolares para pagar y alquilar y cosas así. Es por eso que necesito tu ayuda. Un amigo en necesidad.,,
ham,What's the significance?,¿Cuál es el significado?,,
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,¿Tu opinión sobre mí? 1. sobre 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl personaje 7. No maduro 8. Estiloso 9. Simple Pls responder..,,
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try","8 al más tardar, g's todavía está allí si usted puede esconderse algunas municiones y quiere dar al nuevo ak un intento",,
ham,Prabha..i'm soryda..realy..frm heart i'm sory,Prabha..i'm soryda..realy..frm corazón i'm sory,,
ham,Lol ok your forgiven :),Lol ok tu perdón :),,
ham,No..jst change tat only..,"No, sólo cambian las cosas...",,
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a �500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+","Usted está garantizado el último teléfono Nokia, un reproductor de iPod MP3 de 40GB o un premio de 500! Palabra Txt: COLLECT a No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",,
ham,S:)no competition for him.,S: No hay competencia para él.,,
spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,Tones Boltblue para 150p Responder POLY# o MONO# por ejemplo POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me o STOP 4 más tonos txt MORE,,
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,Sus créditos han sido superados para http://www.bubbletext.com Su pin de renovación es tgxxrz,,
ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ","De esa manera el transporte es menos problemático que en la noche sentada. Por cierto, si u desea pedir n para unirse a mi bday, siéntese libre.",,
ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,Normalmente la persona está inconsciente que es en los niños pero en los adultos pueden simplemente comportarse anormalmente.,,
ham,But that's on ebay it might be less elsewhere.,Pero eso es en eBay que puede ser menos en otros lugares.,,
ham,Shall i come to get pickle,Shall I Come to Get Pickle (Vengo a Pickle),,
ham,Were gonna go get some tacos,Were gonna go get some tacos (Voy a tomar algunos tacos),,
ham,"That's very rude, you on campus?","¿Eso es muy rudo, usted en el campus?",,
spam,"URGENT!: Your Mobile No. was awarded a �2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",URGENTE!: Su Número Móvil fue galardonado con un premio de llamador de bonificación de 2.000 dólares el 02/09/03! ¡Este es nuestro segundo intento de contactar con Usted! Llame 0871-872-9755 BOX95QU,,
ham,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,"Hola, no voy a hacer 4 navidades, pero disfrutemos de las noches felices.",,
spam,"Today's Offer! Claim ur �150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. �3.00 Sub. 16 . Unsub reply X","Oferta de hoy! Reclama 150 bonos de descuento! Text YES a 85023 ahora! SavaMob, miembro ofrece móvil! T Cs 08717898035. 3.00 Sub.",,
ham,Yes! How is a pretty lady like you single?,¿Cómo es una mujer hermosa como tú?,,
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,Usted recibirá su tono dentro de las próximas 24 horas. Para los términos y condiciones por favor ver Canal U Teletext Pg 750,,
ham,Jay says that you're a double-faggot,Jay dice que eres un doble-faggot,,
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,PRIVADO! Su declaración de cuenta de 2003 para 07815296484 muestra 800 puntos S.I.M. no rescatados. llamando 08718738001 Código de identificación 41782 expira 18/11/04,,
ham,What Today-sunday..sunday is holiday..so no work..,"El domingo es día de vacaciones, no hay trabajo.",,
ham,Gudnite....tc...practice going on,Godnite... tc... la práctica continúa,,
ham,I'll be late...,Estaré tarde...,,
ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.","No te he llamado por un tiempo. esto es esperando que fuera la malaria l8r y que sepas que te echamos de menos chicos. me falta Bani grande, así que pls darle mi amor especialmente.",,
ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea","Buenas tardes, amor mío! ¿Cómo va ese día? espero que tal vez tengas algunas pistas en un trabajo. pienso en ti, boxeo y te envío un beso apasionado desde el otro lado del mar",,
ham,"Probably gonna be here for a while, see you later tonight &lt;)","Probablemente voy a estar aquí por un tiempo, nos vemos más tarde esta noche &lt;)",,
ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,O tal vez mis dedos grasos simplemente presionan todos estos botones y no sabe qué hacer.,,
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,Ummmmmaah Muchos muchos retornos felices de d día mi querido corazón dulce..,,
ham,"I am in tirupur da, once you started from office call me.","Estoy en tirupur da, una vez que empiezas desde la oficina llámame.",,
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,desde www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web edad16 2stop txt stop,,
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'","Una famosa cita: cuando desarrollas la capacidad de escuchar “cualquier cosa” incondicionalmente sin perder tu temperamento o confianza en ti mismo, significa que estás “MARIDO”.",,
ham,But am going to college pa. What to do. are else ill come there it self. Pa.,Pero voy a la universidad pa. ¿qué hacer. son otros enfermos vienen allí. pa.,,
ham,4 oclock at mine. Just to bash out a flat plan.,"A las cuatro de la mañana, sólo para hacer un plan.",,
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,Esta chica no se queda en la cama.Esta chica no necesita tiempo de recuperación.Id más bien pasar mientras se divierte y luego ser capturado en la cama,,
ham,Then any special there?,¿Alguien especial ahí?,,
ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,"Lo sé, pero tienes que conseguir hotel ahora. acabo de recibir mi invitación pero tuve que disculparme.Cali es demasiado dulce para que yo venga a la boda de algún bloque inglés",,
ham,"Sorry that took so long, omw now","Perdón por haber tomado tanto tiempo, omw ahora",,
ham,Wait  &lt;#&gt;  min..,Encuentro &lt;#&gt; min.,,
ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,"Bueno, déjame 5 minutos, creo que la veo.Bé, eres mi alibi.Estás cortando mi pelo todo el tiempo.",,
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck","Imagínese que finalmente se sumerge en ese baño después de haberlo puesto a través de sus pasos, tal vez incluso tener que comerme por un tiempo antes de salir... Pero también imagine la sensación de esa jaula en su pato rodeado por el agua del baño, recordándole siempre quien te posee... Disfruta, mi cuchillo",,
ham,"Hurry up, I've been weed-deficient for like three days","Prisa, he estado carente de hierba desde hace tres días",,
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo","Ciertamente, si recibo un reconocimiento de usted de que es asombrosamente impertáctil y generalmente frágil exigir un juramento de sangre.",,
ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,Cada noche tomar un baño caliente beber una taza de leche y verás un trabajo de magia.,,
ham,I���ll have a look at the frying pan in case it���s cheap or a book perhaps. No that���s silly a frying pan isn���t likely to be a book,Tendré un vistazo al pan frito en caso de que sea barato o un libro tal vez.No es estúpido que un pan frito no sea un libro,,
ham,O. Well uv causes mutations. Sunscreen is like essential thesedays,O. Bien UV causa mutaciones. protector solar es como thesdays esenciales,,
ham,Having lunch:)you are not in online?why?,¿Por qué no estás en Internet? ¿por qué no estás en Internet?,,
ham,I know that my friend already told that.,Sé que mi amigo ya lo ha dicho.,,
ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?,¡Hola princesa! gracias por las fotos. ¿estás muy guapa. ¿Cómo estás?,,
ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ","Aiyo... U siempre c nuestro ex uno... I dunno abt mei, ella ha respondido... Primera vez u responder tan rápido... Y tan afortunado no trabajar huh, got bao por ur sugardad ah...gee..",,
ham,Hi msg me:)i'm in office..,Hola msg me :) estoy en la oficina..,,
ham,Thanx 4 e brownie it's v nice...,¡Thanks 4 e brownie es muy bueno!,,
ham,Geeeee ... I love you so much I can barely stand it,Geeeee... te amo tanto que apenas puedo soportarlo,,
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a �1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,GENT! Estamos tratando de ponerse en contacto contigo. El último sorteo del fin de semana muestra que has ganado un premio de 1000 GARANTIDO. Llamar 09064012160. Código de reclamación K52. Valido sólo 12 horas. 150ppm,,
